"A","B","C","D","E","F","G","H","I"
3,12,4,5,13,16,6,23,18
0,1,12,8,1,18,22,18,12
8,7,7,4,6,30,14,17,9
0,3,6,7,12,14,10,16,8
5,5,4,4,6,13,27,12,32
0,0,5,23,10,9,19,31,10
0,0,4,22,28,10,20,29,9
0,0,9,11,16,19,9,20,15
2,8,4,14,4,7,15,28,5
2,7,8,2,7,8,23,6,29
1,1,4,0,19,13,30,20,32
3,4,6,19,17,4,22,34,8
0,10,2,6,0,9,28,14,27
9,3,0,3,3,17,16,12,25
0,4,5,18,15,28,26,14,14
3,0,16,3,27,8,6,4,17
1,0,4,11,3,11,3,27,21
10,2,3,10,0,4,5,8,7
7,0,5,20,11,11,5,23,24
0,12,5,3,7,10,9,22,17
3,3,0,5,10,7,19,18,18
0,3,4,5,16,13,26,11,12
0,4,4,12,0,15,15,15,18
2,3,1,8,16,13,19,24,35
0,0,0,3,16,2,14,8,6
10,5,1,2,15,7,22,6,34
2,4,15,20,22,6,17,9,14
0,7,2,10,11,13,16,27,37
0,0,0,11,14,29,50,20,28
0,14,6,3,13,9,20,18,12
0,6,5,9,30,5,13,15,5
2,1,7,3,0,7,16,16,32
0,13,4,9,4,24,13,39,9
0,5,5,21,1,9,9,19,23
0,5,5,0,9,5,12,5,17
4,0,8,24,18,16,25,22,12
0,13,9,18,16,19,19,34,28
4,9,3,28,10,14,24,23,11
5,4,3,6,10,16,13,21,12
0,5,9,8,17,21,10,28,11
0,2,7,13,9,10,20,10,38
0,3,11,8,3,24,16,11,20
0,11,7,10,11,3,13,13,20
0,0,3,19,17,9,3,6,24
1,2,2,3,4,22,13,23,3
0,8,0,8,0,12,23,30,15
3,0,7,9,12,16,30,5,14
2,9,9,4,6,14,17,14,24
0,4,8,2,15,5,18,8,17
0,0,15,13,2,11,20,20,13
0,3,4,6,18,40,29,6,19
1,10,5,5,20,13,26,14,11
4,4,15,11,20,20,17,12,21
4,0,6,6,22,19,2,17,20
17,9,12,1,5,11,24,10,18
11,2,10,11,7,15,20,7,23
0,10,5,7,17,6,6,16,24
0,2,8,11,12,21,22,21,16
0,5,7,0,24,7,15,23,6
6,0,9,8,12,14,17,17,7
6,0,9,6,3,11,16,15,10
0,3,0,2,8,26,25,18,20
0,0,11,7,3,21,14,21,26
0,1,15,8,11,12,13,17,12
1,7,1,7,15,7,15,5,30
0,6,2,11,18,9,10,20,27
0,2,2,2,5,12,11,15,11
0,19,3,8,5,19,20,30,26
7,4,8,5,10,6,25,13,40
3,0,8,19,11,18,8,1,35
0,2,5,7,10,20,11,28,22
0,7,10,4,14,9,26,23,26
0,1,1,8,9,15,7,27,12
2,3,3,0,11,13,13,9,22
23,1,6,7,6,26,24,9,18
5,0,6,3,6,28,18,15,12
0,9,0,1,13,11,15,21,14
0,4,0,8,9,9,20,9,8
0,2,6,3,22,15,13,32,7
0,3,2,1,7,5,18,30,27
0,7,0,39,18,16,10,21,44
2,8,2,0,11,14,3,16,26
0,4,0,20,20,12,20,19,25
0,3,1,1,12,33,8,13,8
2,4,6,11,19,6,16,17,29
4,0,0,8,10,6,15,12,25
0,1,0,20,12,9,17,15,18
0,4,2,4,15,10,18,42,12
0,0,1,4,5,11,9,28,18
0,0,7,7,4,8,12,20,17
8,17,3,10,21,14,15,23,21
0,0,2,6,16,6,15,24,14
0,0,2,9,3,19,27,32,15
0,5,6,4,24,20,9,17,15
2,2,9,6,10,21,14,32,12
0,7,10,0,9,15,10,7,21
0,5,5,19,12,26,12,2,15
2,1,1,7,10,12,21,12,22
1,2,15,13,24,8,7,17,15
3,4,10,12,25,2,6,4,14
0,9,12,3,8,1,9,36,23
2,2,3,7,9,27,12,15,26
0,10,4,6,12,4,9,15,21
3,8,13,7,29,12,17,18,17
1,3,5,20,6,18,15,25,4
0,1,4,6,5,12,16,21,24
0,3,7,4,17,6,19,12,27
0,1,5,17,7,16,15,30,17
0,7,6,9,6,6,33,8,18
0,6,0,9,0,18,19,18,11
0,11,0,10,27,22,24,25,16
0,9,3,2,14,7,24,19,9
0,6,11,7,6,3,19,24,17
0,9,5,11,20,3,4,30,20
0,5,8,6,8,32,4,13,22
0,15,12,3,31,27,14,18,2
11,0,5,4,15,4,10,22,31
0,4,3,1,6,11,7,19,37
2,3,10,30,10,2,8,21,13
0,10,1,14,6,2,13,10,32
0,2,4,0,12,21,28,24,28
2,3,0,4,14,12,29,15,12
0,9,25,12,6,3,2,18,16
6,5,5,5,7,12,22,14,34
0,6,10,12,21,9,27,8,24
3,0,10,7,12,12,10,3,20
0,7,1,1,4,3,3,21,38
0,14,11,20,13,15,27,20,16
3,0,7,9,23,14,19,10,18
1,5,6,5,14,9,15,36,19
3,0,8,14,19,8,11,28,29
0,2,12,4,22,21,0,18,18
0,7,11,11,14,17,11,23,14
1,0,5,2,5,12,15,28,9
0,2,0,7,5,20,14,7,22
0,12,5,3,2,13,13,34,35
0,3,1,7,5,32,12,38,17
0,0,16,0,30,21,11,27,19
0,5,9,11,10,6,19,6,17
3,6,2,0,8,13,34,12,34
0,2,1,8,7,14,13,11,25
0,0,9,17,13,16,23,9,2
0,4,3,4,8,13,5,10,30
1,14,7,12,8,31,6,13,17
0,0,7,3,14,13,8,19,7
2,0,6,21,3,8,34,13,21
0,2,5,11,6,16,2,6,21
0,0,12,0,12,5,1,21,14
0,9,6,12,11,6,18,39,20
6,2,0,4,11,8,15,34,32
0,2,11,0,10,8,35,14,25
5,0,6,10,7,14,18,17,19
3,1,7,4,5,8,6,19,13
0,1,19,17,25,16,29,10,30
0,2,12,6,9,16,17,16,22
0,0,2,12,8,13,9,12,11
1,8,7,18,22,4,42,14,23
1,3,8,10,6,13,29,15,31
4,6,0,8,2,21,12,24,13
3,1,15,5,3,11,15,10,31
0,8,12,11,2,5,21,39,24
0,5,13,3,12,5,35,8,31
6,6,8,2,11,4,18,13,16
7,0,7,2,14,16,19,34,23
0,4,3,3,3,6,13,7,7
0,2,4,10,22,29,10,19,15
0,5,5,18,13,16,13,15,23
0,3,5,3,9,7,9,14,25
1,5,1,19,7,9,14,22,8
0,10,7,22,4,1,10,17,25
0,6,7,17,6,11,22,13,23
3,1,1,5,25,17,20,26,37
0,15,8,16,7,8,21,23,23
4,12,5,6,9,2,15,16,41
0,3,4,16,5,29,9,8,16
6,0,16,5,13,8,31,10,19
0,0,9,25,11,33,18,46,21
0,0,14,6,25,27,18,26,24
7,2,5,9,16,5,17,7,32
0,1,7,3,11,10,15,14,14
0,5,0,22,11,6,19,8,21
0,5,6,7,8,4,18,11,16
0,0,2,8,18,7,11,16,22
2,0,9,11,10,16,33,16,28
9,0,5,9,19,20,19,7,19
