"A","B","C","D","E","F","G","H","I"
2,1,1,1,4,22,43,15,19
3,20,9,13,2,33,24,21,17
4,1,9,3,3,29,24,23,23
1,10,22,10,14,34,3,2,6
2,6,6,5,5,5,13,24,30
0,12,12,15,11,14,27,47,23
0,0,1,25,25,36,19,19,43
0,22,5,10,30,40,25,14,13
1,5,22,19,13,15,14,14,32
0,2,22,22,6,17,5,28,37
6,5,10,6,17,1,2,12,13
4,1,8,1,23,17,30,47,27
6,3,21,21,40,2,42,13,11
0,5,1,1,5,27,20,18,13
8,8,13,5,13,24,7,19,13
0,4,5,5,11,17,3,23,20
0,16,7,9,36,24,23,4,26
0,9,9,23,18,6,13,21,29
0,0,1,2,8,16,44,11,42
2,24,3,4,27,27,4,28,13
0,15,3,8,7,7,23,13,49
0,0,2,22,2,13,15,11,9
1,1,4,4,12,33,11,33,34
2,5,31,8,16,19,33,29,17
0,2,11,7,9,5,17,3,49
9,4,6,21,7,19,16,14,28
0,15,13,6,5,46,19,25,22
12,8,3,8,31,31,6,6,36
0,7,6,17,44,7,34,45,23
1,1,7,13,3,28,4,4,27
9,33,6,7,17,25,18,21,19
2,5,4,12,3,42,5,26,14
4,7,7,4,16,9,27,12,20
0,3,4,31,17,8,17,17,11
0,29,8,18,18,35,19,20,9
2,3,17,47,36,12,2,10,15
3,2,16,3,14,21,20,27,27
7,8,8,2,23,11,2,31,34
16,6,2,6,37,8,17,30,13
0,0,0,12,5,3,27,53,8
3,3,29,3,4,37,44,27,35
3,2,3,24,21,8,17,8,12
3,2,1,4,20,35,19,12,20
0,15,6,19,21,7,1,40,32
2,18,1,38,13,13,26,12,47
0,12,6,20,24,9,30,27,14
1,2,2,9,6,12,22,72,22
15,9,7,17,26,23,35,30,10
0,9,2,6,6,26,20,53,3
0,2,4,17,2,17,8,28,64
4,5,4,10,29,35,20,20,40
1,13,30,30,1,14,24,24,18
7,7,19,28,9,8,19,9,2
3,3,3,3,2,9,6,7,23
2,10,2,2,2,8,26,33,22
3,3,25,25,19,8,22,16,13
4,2,6,6,8,20,17,28,23
17,23,4,4,26,19,9,1,13
0,11,6,4,21,7,22,22,16
1,10,1,3,6,27,14,5,31
3,2,2,10,23,19,13,24,46
0,20,20,20,5,13,49,47,44
1,1,1,11,11,11,25,14,5
9,2,9,21,8,38,44,15,36
19,6,2,1,22,22,3,20,1
4,1,7,10,20,23,18,16,13
7,19,19,28,19,20,35,7,10
4,4,26,13,12,14,36,6,21
0,2,32,13,12,10,10,15,35
2,2,25,1,10,20,21,24,8
0,4,11,12,41,29,33,32,28
0,22,8,16,8,31,12,43,14
3,3,1,10,23,3,19,13,39
0,0,14,18,31,19,35,1,25
9,9,4,13,35,28,30,21,40
0,1,9,10,17,4,6,49,20
3,11,38,8,19,3,45,8,1
6,6,6,6,2,2,2,11,34
0,7,7,7,34,25,34,8,29
3,3,28,1,1,20,1,13,12
0,0,0,0,0,14,22,13,13
1,1,1,16,11,37,28,28,32
1,5,14,3,30,1,18,41,58
8,11,12,13,11,11,7,17,8
15,4,27,23,4,43,27,25,17
7,22,22,6,35,19,19,9,40
11,11,11,1,17,60,17,45,40
1,5,7,25,17,15,1,9,64
5,5,1,15,51,11,1,21,33
29,23,17,9,4,18,36,4,30
3,4,8,27,5,9,27,28,19
5,21,12,51,17,47,32,12,24
0,14,8,2,11,26,17,19,20
0,6,7,7,41,14,31,11,14
9,9,14,15,4,15,15,5,13
0,6,14,10,10,13,69,11,25
2,11,5,4,19,8,30,16,7
16,13,1,21,20,10,6,43,9
3,3,6,7,8,1,21,37,18
0,3,3,1,1,27,41,4,2
3,4,4,15,5,19,31,34,17
15,10,5,11,4,35,23,4,11
0,0,0,17,2,8,7,10,18
0,19,4,22,18,18,13,2,34
0,0,0,5,8,27,16,5,20
1,1,1,14,10,8,5,13,50
14,13,2,12,17,4,9,21,18
4,7,5,5,5,14,20,20,9
0,4,5,4,9,22,35,31,12
0,9,2,18,26,37,4,14,1
0,0,14,11,31,15,28,18,44
0,0,3,3,20,11,8,22,18
29,6,5,17,10,22,34,16,30
13,13,14,9,5,3,32,8,15
0,0,2,20,3,3,11,14,24
0,17,8,7,2,1,6,24,21
0,2,8,8,14,2,16,15,34
0,17,17,6,8,6,34,25,25
1,5,11,4,11,13,26,24,15
3,3,3,35,5,24,7,19,11
3,4,29,3,8,20,24,36,23
1,5,13,13,5,14,27,15,30
2,5,11,5,26,2,27,32,8
0,7,9,27,16,10,6,34,13
2,2,5,9,5,5,7,17,34
7,7,7,24,14,29,38,35,16
11,3,17,6,7,39,7,3,14
10,16,16,7,24,24,36,2,41
10,10,10,11,35,17,18,23,17
2,1,16,4,6,2,8,14,19
5,2,16,5,36,12,10,55,25
0,5,11,11,12,12,12,13,17
2,2,2,6,6,4,13,4,32
10,10,11,9,13,1,11,2,20
0,5,5,8,10,2,13,9,21
0,12,10,10,2,17,10,28,10
3,9,3,19,19,7,24,3,23
0,2,13,13,13,55,6,33,10
0,0,6,5,19,31,31,11,36
0,5,32,3,12,8,8,18,38
11,25,18,4,34,17,12,15,19
0,6,16,9,21,48,10,9,12
4,9,11,6,19,11,5,45,4
2,2,2,22,1,21,20,16,5
0,18,11,11,5,7,30,15,43
0,4,5,8,48,17,10,2,24
0,9,9,18,46,7,24,10,28
0,8,9,15,7,29,13,13,39
0,6,9,10,4,9,26,5,20
0,2,16,16,13,45,10,16,18
0,4,7,18,10,14,15,14,5
0,7,6,38,23,10,9,23,33
0,0,26,1,3,7,6,34,29
9,7,23,2,5,7,26,17,39
9,3,12,1,6,1,1,9,10
0,4,11,11,16,9,13,9,21
2,2,14,13,13,44,9,24,10
0,13,36,1,30,6,14,30,14
7,4,4,4,22,18,9,26,4
0,4,20,3,24,6,20,14,22
0,12,24,3,3,12,32,19,22
2,25,25,14,8,19,9,13,18
3,3,5,10,16,18,37,12,47
0,2,20,16,4,14,14,5,35
3,3,10,22,18,8,39,20,22
0,9,6,1,18,8,41,11,10
3,5,9,24,32,22,3,9,38
0,2,1,21,3,17,23,16,22
2,6,10,6,7,5,6,23,25
4,11,3,11,3,27,22,38,18
0,1,22,19,9,55,2,18,7
0,0,2,6,17,55,30,40,21
13,13,7,7,16,20,37,27,12
0,9,32,4,7,6,9,12,22
0,1,7,8,23,3,14,47,71
2,2,14,13,1,16,11,4,18
6,3,7,14,14,43,28,25,7
0,3,3,7,8,38,55,76,13
0,2,3,7,31,17,10,12,29
0,5,3,17,3,3,13,9,32
0,1,1,16,16,16,21,12,46
0,4,4,4,18,13,28,9,2
7,4,5,5,5,8,16,20,71
2,3,15,36,28,10,25,26,16
8,8,2,10,22,6,20,31,19
6,4,4,9,1,22,45,15,18
0,3,17,17,17,1,10,31,13
29,3,10,18,14,13,15,12,24
0,7,7,31,4,16,4,12,12
4,1,10,3,20,10,22,39,36
5,24,12,10,10,21,3,16,12
7,6,7,27,17,19,9,1,11
11,5,4,2,3,15,20,11,34
9,11,11,34,10,10,2,14,5
8,8,4,3,9,9,31,12,14
0,2,1,5,8,21,39,3,52
8,17,8,7,14,15,19,14,34
0,0,13,23,8,20,4,14,33
25,9,9,13,22,25,17,6,26
0,2,11,3,19,20,67,12,41
6,7,26,19,18,3,13,11,46
9,13,13,9,24,3,24,12,35
0,2,9,1,24,2,13,5,25
1,1,12,12,7,18,21,25,6
0,8,9,5,4,25,11,11,6
6,27,19,4,30,22,20,32,30
10,1,13,10,46,34,12,13,26
2,2,9,9,1,33,15,49,21
0,6,7,5,26,9,11,17,12
5,19,1,35,29,8,3,18,8
0,0,6,12,7,22,33,33,7
0,0,16,10,4,5,10,13,7
6,10,15,15,6,15,22,26,17
0,2,36,2,17,21,18,20,14
6,5,10,5,16,16,16,17,14
11,7,2,14,20,6,26,15,32
15,5,5,31,10,36,23,38,25
0,8,23,17,33,13,31,12,17
3,24,2,19,19,23,17,15,15
2,2,46,11,23,4,15,32,47
2,2,1,19,7,38,45,7,31
0,9,10,9,7,33,11,15,6
12,16,26,29,16,5,8,13,34
14,3,14,18,38,6,24,4,24
0,2,39,7,5,26,14,38,45
4,4,15,6,3,4,35,15,11
0,5,4,9,4,48,5,6,1
3,10,7,7,21,36,15,34,1
3,3,14,5,14,20,51,22,10
2,15,13,10,12,55,27,16,17
4,13,18,2,3,5,8,35,26
2,5,13,1,18,22,13,29,36
0,0,14,3,6,6,9,9,27
0,1,10,3,14,23,13,10,11
10,5,19,13,17,14,17,19,12
3,16,3,18,2,8,30,7,44
2,18,10,30,2,29,11,3,20
4,15,18,6,8,9,26,45,34
0,20,4,6,2,18,13,13,41
5,15,17,19,11,19,28,2,23
12,5,10,1,22,4,22,3,3
12,5,4,4,18,8,10,12,21
4,7,7,18,1,18,11,31,22
0,26,1,21,22,16,32,5,19
11,7,1,30,63,5,20,21,30
0,2,8,9,12,25,25,26,21
11,5,5,18,32,10,10,45,34
0,19,11,11,4,40,27,25,82
0,12,12,22,8,12,34,14,21
14,14,3,3,3,16,17,9,41
0,0,13,10,1,1,13,23,31
3,12,5,12,4,11,10,42,12
0,11,21,21,7,29,14,49,58
0,10,6,24,20,20,10,11,25
0,3,13,7,3,11,28,20,28
9,1,1,12,15,29,37,13,13
0,21,2,2,11,18,28,12,3
0,0,6,8,1,29,10,39,50
11,1,2,16,16,8,13,13,10
