"A","B","C","D","E","F","G","H","I"
0,11,5,18,7,11,29,34,48
9,7,0,6,28,15,16,28,23
0,9,0,20,7,31,40,25,33
10,4,5,22,18,26,5,19,41
19,3,14,18,15,10,19,20,18
0,0,19,7,28,24,16,15,25
30,0,7,11,16,10,40,3,25
0,5,4,8,21,30,30,48,37
18,13,3,15,11,18,18,31,37
0,3,16,12,33,19,13,40,13
5,6,5,16,17,38,38,35,41
0,5,3,3,26,38,40,14,22
7,9,15,3,10,29,21,32,41
12,1,9,12,4,13,8,42,30
4,1,5,14,17,23,22,47,33
0,8,16,11,5,32,22,40,46
8,8,8,4,26,14,27,53,26
0,7,11,25,15,23,16,14,52
0,5,17,17,24,34,13,21,34
0,11,3,11,33,29,39,27,20
3,4,5,22,34,12,26,46,25
0,9,16,0,19,18,16,56,48
0,7,20,12,11,12,11,38,25
2,16,10,14,26,52,20,10,18
0,6,9,9,26,22,14,16,13
5,0,12,17,13,15,28,29,27
0,7,1,5,23,29,17,31,37
6,16,26,19,6,19,1,29,57
0,9,19,12,23,14,27,32,56
0,5,4,4,35,19,16,24,36
2,10,7,18,12,14,8,19,47
1,7,5,28,32,14,21,34,43
9,3,10,11,16,15,24,24,31
0,12,20,10,10,17,37,27,58
3,1,7,4,26,26,13,30,22
0,5,12,0,15,28,7,20,33
0,7,0,4,27,29,30,19,13
10,12,8,16,27,42,16,23,37
0,13,17,7,5,28,33,30,30
1,0,4,13,7,15,37,11,45
0,8,6,22,24,39,16,50,27
1,0,6,20,10,21,30,45,61
1,0,15,20,23,18,15,42,26
0,0,10,9,14,14,31,26,7
0,6,1,5,22,5,31,31,26
10,1,16,0,6,38,30,18,41
0,3,21,15,15,15,39,29,41
0,7,11,21,23,22,52,37,23
1,1,1,12,14,18,51,36,19
3,8,4,12,30,60,43,15,30
0,9,7,24,15,19,26,34,48
5,30,26,38,37,17,30,19,31
3,17,7,29,18,13,23,63,26
0,4,0,0,19,7,28,14,22
0,8,12,20,23,42,17,21,43
0,3,8,23,16,17,15,32,17
4,13,8,17,29,22,36,24,25
0,3,3,9,19,25,31,56,30
3,2,14,11,24,50,33,14,85
11,1,13,5,15,20,55,24,39
0,4,8,17,24,19,10,13,33
1,12,17,11,21,4,38,19,10
0,9,10,12,16,20,23,21,44
5,7,16,7,13,22,10,13,63
8,2,3,23,22,11,9,36,58
3,10,17,19,32,25,5,19,27
14,17,17,8,24,61,20,19,30
2,13,16,13,13,22,28,18,45
0,2,16,24,27,18,49,22,50
12,13,0,14,7,7,28,7,28
0,4,9,16,7,25,18,25,46
0,5,4,33,14,10,19,29,31
5,4,25,4,16,22,40,18,37
0,2,5,13,19,28,25,14,26
1,3,0,26,30,26,36,58,43
2,6,12,11,17,30,30,21,28
12,5,22,5,4,24,6,3,25
0,11,11,22,8,16,6,9,45
0,5,1,32,19,34,25,24,19
6,3,6,8,19,16,27,10,20
0,0,1,11,18,29,47,20,29
1,5,16,18,26,22,11,19,43
0,7,10,11,0,18,54,38,45
0,1,11,18,20,22,36,32,27
0,0,6,12,23,29,33,46,21
0,6,8,3,22,37,28,32,38
2,0,10,15,6,14,15,17,20
5,10,11,1,18,28,35,22,36
0,27,14,15,24,5,26,30,34
1,6,6,20,10,16,12,19,29
11,5,22,11,29,28,7,38,34
0,0,13,7,12,29,40,49,39
0,0,2,1,10,24,5,9,18
0,9,5,36,17,23,34,20,35
3,0,12,10,8,19,41,21,23
7,3,2,14,24,31,29,18,26
0,6,8,13,49,7,10,22,42
0,2,2,24,34,16,45,17,16
1,7,20,22,3,4,37,23,54
3,6,23,16,26,22,18,30,32
4,16,2,7,20,23,27,24,22
5,1,47,6,15,9,21,31,61
0,2,20,16,11,14,15,26,40
0,8,20,6,17,7,19,29,44
0,0,6,9,17,20,45,25,24
0,8,0,1,35,15,37,38,40
7,0,8,1,11,46,26,37,30
0,14,5,4,10,7,6,12,26
0,10,7,30,17,16,36,8,32
0,5,5,32,26,20,11,31,30
1,5,2,0,19,34,27,48,29
0,28,44,17,14,20,22,49,59
0,8,10,27,13,20,15,15,33
0,0,7,28,6,25,20,31,24
11,4,8,25,12,24,32,28,47
0,0,12,34,22,17,10,21,49
0,9,7,16,8,30,26,45,20
14,4,9,5,20,8,27,4,28
0,15,19,9,18,14,30,8,55
