"A","B","C","D","E","F","G","H","I"
1,16,44,12,34,28,39,72,70
7,17,10,7,18,44,41,59,35
3,12,13,24,26,25,66,10,25
7,3,14,22,34,41,62,37,40
0,40,12,0,28,46,43,59,47
0,15,15,21,13,32,68,91,64
0,5,23,43,27,24,29,67,50
9,22,0,9,43,29,54,60,45
0,15,5,14,49,6,46,50,132
22,6,4,14,22,44,47,51,82
0,18,32,39,40,37,33,40,34
11,11,33,19,43,26,67,62,93
6,6,16,29,24,44,35,40,76
2,19,6,11,27,53,31,57,63
0,13,48,26,18,20,47,59,54
0,16,29,12,28,37,40,62,47
2,7,10,3,16,20,59,73,68
36,6,24,35,27,29,32,33,80
18,18,4,18,35,12,51,67,39
8,16,17,41,33,15,36,83,49
0,11,20,29,10,26,56,19,101
2,6,45,45,9,19,42,20,45
0,9,19,37,18,33,51,61,81
2,0,4,36,25,22,72,66,40
4,16,17,24,19,50,34,52,52
0,22,17,11,24,30,69,52,56
4,16,13,8,16,39,43,36,85
18,7,5,46,20,48,16,39,60
10,4,12,27,37,62,47,47,22
0,16,11,16,40,38,67,76,53
2,20,12,15,8,43,41,61,97
1,14,20,33,41,63,78,27,37
11,10,5,16,21,50,60,83,37
0,10,33,11,21,50,73,22,67
3,7,10,14,46,18,81,56,12
1,16,8,47,39,20,40,77,66
1,7,24,21,47,56,52,65,54
5,2,23,19,22,64,28,45,75
5,16,16,35,51,50,48,25,36
6,10,31,39,50,20,22,20,60
5,9,8,37,25,25,28,51,65
3,12,17,38,31,48,55,52,65
24,19,15,40,44,61,51,34,44
4,17,8,21,18,46,39,59,71
4,16,16,25,67,35,78,49,68
0,0,44,11,28,36,64,65,58
12,0,28,19,9,33,79,67,57
2,12,25,41,34,55,30,17,40
6,33,28,46,27,38,37,53,38
8,17,38,26,52,34,30,33,36
9,16,13,39,4,62,51,62,42
3,5,24,25,33,54,34,31,64
8,0,28,20,35,42,71,36,80
0,17,3,13,17,44,40,53,63
6,31,20,19,24,27,32,38,53
2,6,42,32,61,54,50,54,73
3,0,9,37,26,49,31,49,53
0,6,23,39,18,45,43,48,73
6,10,12,13,31,59,36,65,37
0,21,8,21,50,26,35,49,55
5,2,16,20,10,31,50,25,71
0,28,23,12,14,28,50,53,45
2,7,9,12,35,33,59,51,24
0,6,31,42,29,16,57,84,72
7,8,6,27,31,13,101,35,51
2,23,18,5,34,49,80,78,103
0,0,3,59,21,54,52,97,55
5,18,19,21,39,17,43,85,67
3,0,13,15,68,36,65,64,97
26,6,8,28,17,18,53,75,49
0,15,9,33,8,27,39,37,96
6,8,15,34,22,17,15,76,73
0,0,24,7,18,40,48,94,59
0,8,52,4,31,46,41,42,54
0,19,18,13,31,59,46,56,32
0,5,16,11,21,39,35,57,51
0,1,3,11,8,53,38,64,42
7,21,8,30,58,34,57,47,33
3,3,15,27,11,20,70,54,25
9,11,16,52,12,52,27,67,60
0,5,0,0,90,18,57,71,41
8,8,40,23,37,17,102,41,53
11,0,15,10,43,44,48,73,52
5,17,32,11,35,40,51,60,62
1,10,7,21,23,60,26,43,26
3,7,7,6,19,20,46,38,74
6,27,10,22,29,28,53,41,66
7,10,25,22,27,37,81,54,47
9,23,13,28,63,35,49,16,72
11,1,37,10,36,55,38,45,65
0,31,26,10,25,19,33,46,40
4,9,23,62,53,26,56,27,69
0,24,14,30,30,59,51,45,62
4,0,5,29,55,30,19,51,41
14,10,17,20,61,20,14,10,67
0,23,14,36,53,24,54,44,44
21,0,36,24,50,16,58,77,39
11,2,11,20,35,22,51,37,68
5,28,10,16,67,25,47,32,57
4,16,6,53,60,18,49,56,67
19,9,32,28,24,47,48,104,37
5,32,5,20,51,72,29,40,36
16,10,3,46,33,21,33,63,45
0,9,35,42,27,62,45,72,45
7,19,9,40,45,18,39,43,40
11,0,35,12,25,20,38,71,47
3,16,28,40,25,37,20,78,80
30,10,11,21,46,54,60,49,59
3,11,11,1,83,46,37,77,48
7,21,16,12,15,18,47,58,66
1,45,18,24,56,57,68,14,34
17,0,11,19,25,47,60,28,37
0,4,17,13,32,25,54,43,61
0,16,20,25,18,44,21,35,80
9,0,8,36,18,33,37,52,63
6,17,55,26,50,49,59,44,63
12,1,23,20,37,80,56,25,59
1,28,14,35,15,60,52,37,69
25,2,26,37,32,15,48,22,89
0,25,9,10,19,69,76,77,75
12,11,26,43,28,39,30,23,42
0,8,27,41,17,38,24,69,28
0,10,35,41,33,30,31,68,75
10,7,12,22,37,48,45,41,28
9,4,45,34,32,10,34,35,100
0,2,2,14,27,22,59,26,77
0,14,27,33,20,41,35,49,30
24,12,24,11,22,22,51,19,92
11,18,31,23,20,62,18,60,54
0,0,6,25,40,47,13,64,71
0,33,8,2,13,19,32,50,34
10,32,14,38,35,32,61,54,51
0,13,13,13,21,56,60,46,76
14,10,13,45,28,26,44,48,35
0,4,17,25,50,12,38,22,44
2,25,2,38,16,35,34,71,69
0,6,33,16,30,53,64,65,70
5,17,9,12,44,49,64,49,54
0,17,28,11,58,44,45,30,42
5,6,33,12,49,19,34,70,21
0,0,10,22,18,54,33,56,40
4,2,20,5,15,43,53,97,42
6,6,31,17,13,93,18,73,88
11,14,10,28,51,19,18,40,54
3,15,19,41,37,61,36,28,90
13,0,6,14,5,22,36,62,22
11,8,21,21,12,35,70,64,55
0,2,21,30,35,58,22,59,102
16,8,19,42,23,17,59,30,79
0,22,12,46,38,50,20,35,43
0,4,7,38,23,16,53,52,52
0,20,34,16,61,20,51,32,58
0,3,2,28,38,34,27,49,59
4,19,23,9,40,38,82,56,29
5,31,6,42,79,19,58,61,40
3,3,19,24,11,44,45,75,62
0,7,21,25,55,37,22,48,48
6,24,19,48,49,72,44,24,39
0,10,13,26,22,36,24,51,51
10,18,13,15,9,47,25,16,88
0,11,5,21,36,24,67,29,20
5,8,2,33,30,20,81,45,37
4,0,10,7,19,47,39,36,37
0,13,24,35,17,93,40,23,40
0,21,28,22,8,42,39,34,62
0,5,14,31,28,42,52,81,53
0,16,24,50,29,52,33,40,15
0,8,2,15,22,45,40,70,22
0,4,9,22,21,30,84,78,88
3,6,8,22,44,30,32,62,27
6,9,11,21,22,81,35,69,58
0,7,29,9,63,48,52,57,82
