"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
9,9,9,9,9,9,9,9,9,9
9,9,9,9,9,9,9,9,9,9
9,9,9,9,9,9,9,9,9,9
9,9,9,9,9,9,9,9,9,9
9,8,9,9,9,9,9,9,9,9
9,8,9,9,9,9,9,9,9,9
9,8,9,9,9,9,9,9,9,9
9,8,9,9,9,9,9,9,9,9
9,8,9,9,9,9,9,9,9,9
9,8,9,9,9,9,9,9,9,9
11,9,10,11,10,10,9,11,11,10
11,10,10,11,10,10,9,14,11,10
12,10,10,11,11,12,10,14,13,12
12,13,11,10,12,10,11,11,12,12
10,10,11,10,12,12,11,13,12,10
11,10,11,9,12,11,12,14,13,12
10,12,12,12,13,10,10,13,10,11
12,11,13,9,14,11,10,13,13,12
11,11,12,11,13,12,11,12,12,13
12,12,12,13,13,14,10,12,13,12
12,11,13,13,11,13,11,12,14,14
11,9,12,11,11,11,10,13,11,14
14,11,11,12,10,11,13,13,12,10
13,10,11,12,10,11,13,12,11,12
14,9,11,12,12,11,11,12,12,10
16,13,9,11,13,11,13,12,13,11
13,11,10,12,11,10,14,11,11,12
14,11,12,12,12,11,12,11,14,14
12,13,10,11,11,13,12,10,13,15
10,14,11,11,13,12,10,13,13,10
11,9,11,13,11,11,12,10,11,12
15,12,12,12,11,12,12,14,12,13
13,11,13,10,11,12,11,10,14,12
12,11,13,10,13,14,12,12,11,14
14,12,12,9,9,13,10,12,13,14
11,12,14,11,12,12,12,14,15,12
10,10,13,12,14,16,13,11,16,12
14,12,13,13,11,12,11,12,12,12
11,13,17,12,10,14,12,15,12,13
12,11,15,11,12,13,11,13,14,13
11,10,12,14,13,12,14,15,13,13
10,11,13,13,14,15,13,10,10,14
14,13,12,12,13,14,10,13,16,13
13,12,12,11,16,13,14,11,14,12
14,11,11,13,11,15,13,15,14,14
15,11,15,13,14,13,13,13,14,14
14,11,14,13,14,12,11,10,14,12
16,12,12,10,11,12,11,16,13,13
15,12,14,13,12,13,13,11,15,11
12,14,12,11,13,13,14,11,11,14
14,11,12,15,13,14,15,13,13,15
13,14,11,11,9,11,10,14,10,12
12,12,14,13,11,12,12,15,17,11
11,11,12,15,13,14,10,17,16,13
12,10,13,13,9,12,12,14,14,10
10,11,15,12,10,13,11,17,16,13
10,9,15,13,10,11,10,17,15,8
10,11,13,14,11,12,12,16,17,10
10,10,13,13,11,11,10,15,16,9
10,9,14,15,10,14,10,15,17,10
12,9,14,14,9,12,13,15,15,8
13,9,15,14,10,13,11,18,16,9
12,9,15,14,11,14,11,18,17,11
12,13,13,16,10,16,9,16,17,9
12,13,13,16,11,14,13,16,16,9
11,11,15,16,13,15,10,17,17,10
14,10,16,15,10,14,12,17,18,10
14,12,15,16,11,14,13,18,17,10
15,12,15,16,10,16,13,16,18,9
13,11,15,17,11,14,13,17,17,12
16,13,15,17,12,13,11,18,18,12
15,11,13,15,10,14,12,18,18,11
14,10,15,16,13,15,14,21,18,11
14,10,16,16,14,12,13,18,18,9
13,10,15,17,14,16,14,18,17,11
14,9,18,14,11,16,10,19,19,11
14,11,15,16,11,15,12,20,16,11
13,14,16,17,11,16,12,20,19,13
14,12,16,16,11,16,11,20,16,13
13,11,20,15,10,16,12,18,17,10
14,10,17,17,11,14,11,18,18,12
15,9,19,18,12,17,14,18,16,9
13,11,19,15,12,15,16,19,16,10
15,12,17,14,10,17,14,20,16,10
16,11,20,17,9,14,14,17,17,11
13,13,19,15,11,16,13,18,17,12
15,11,22,15,10,17,13,16,17,10
15,12,18,16,11,16,15,17,19,13
16,11,19,16,11,17,13,19,17,10
17,11,20,15,11,18,14,18,19,10
17,10,19,13,10,17,14,19,22,10
16,12,17,16,10,17,14,19,24,12
17,12,20,14,9,16,11,17,21,10
16,10,23,16,12,17,14,21,19,12
15,12,23,15,10,15,13,21,22,11
17,12,20,16,14,17,12,22,18,12
19,13,21,18,13,17,11,22,24,12
17,12,23,18,11,15,15,23,21,10
18,14,23,16,11,16,15,20,24,13
18,12,21,18,13,16,12,20,22,13
16,11,21,20,12,18,12,18,23,13
14,12,23,18,9,17,13,18,22,11
16,13,24,14,11,16,12,20,22,12
16,13,19,19,12,17,12,22,20,9
16,14,23,18,13,16,12,20,22,12
16,16,21,19,13,16,12,24,19,12
17,13,20,16,10,18,12,23,21,9
19,12,21,18,10,16,15,22,18,10
18,13,21,20,9,14,16,21,21,10
18,14,20,17,11,15,12,20,23,10
18,13,18,20,12,18,13,22,19,12
19,12,22,17,11,16,12,21,22,10
18,12,22,18,12,22,12,22,22,10
19,14,20,17,9,21,14,23,22,8
18,12,18,20,9,20,14,22,23,9
17,13,23,20,10,20,14,22,21,10
19,13,24,23,10,19,14,22,20,10
20,10,22,21,11,17,14,21,24,10
20,13,24,18,10,23,15,24,22,9
17,12,24,18,11,17,14,23,23,12
22,11,24,19,13,20,14,25,23,11
