"A","B","C","D","E","F","G","H","I"
5,2,6,61,22,12,70,39,40
4,6,13,59,28,29,41,41,51
13,6,3,39,8,46,45,61,42
4,12,49,21,51,29,14,25,17
0,1,17,21,19,27,35,51,64
8,3,19,13,35,29,32,43,5
0,3,15,11,11,23,43,29,92
1,7,22,15,10,31,42,21,52
0,2,8,40,36,21,15,36,65
1,1,5,1,12,37,36,34,37
2,17,7,17,5,46,61,98,16
0,7,11,25,14,26,52,39,50
0,6,4,9,31,22,38,18,47
0,2,8,1,4,30,50,30,28
0,3,17,18,33,47,27,58,9
3,19,1,38,37,108,71,49,58
0,11,15,20,27,24,18,33,44
2,6,32,2,42,12,16,41,57
8,8,8,24,10,35,34,40,45
6,2,4,4,5,17,59,61,31
12,10,1,5,21,28,29,16,54
0,3,15,5,15,29,21,31,23
8,5,4,29,33,56,42,26,55
7,7,23,36,33,43,60,9,14
4,13,30,32,41,40,28,77,13
13,6,22,32,59,14,24,18,50
3,9,45,44,6,53,55,83,45
24,14,24,31,9,30,35,25,53
0,6,23,12,19,32,25,23,30
0,2,8,34,22,29,29,42,14
4,13,2,25,49,28,24,19,22
0,1,9,20,42,49,34,53,24
3,22,14,14,7,19,15,21,79
14,11,12,1,19,26,33,35,56
0,11,11,2,10,19,18,15,91
0,35,13,10,37,22,65,46,86
0,0,2,7,38,42,83,46,79
9,6,5,12,22,48,14,15,27
7,11,6,11,8,13,60,23,12
7,2,21,8,19,48,29,13,71
10,2,9,15,31,46,53,18,13
5,18,10,10,14,30,55,12,61
1,5,10,14,20,14,10,36,40
0,1,1,18,33,25,4,46,57
10,2,7,4,44,73,77,66,85
4,15,7,1,22,40,14,64,41
5,14,10,4,10,31,24,26,70
0,3,3,17,21,24,20,18,54
1,1,1,9,22,31,16,31,43
0,0,6,12,15,34,63,31,31
1,7,7,12,9,20,17,28,20
0,2,17,4,31,5,43,60,33
3,3,7,5,23,31,77,27,7
2,2,18,27,36,40,14,13,8
2,31,25,9,8,13,31,24,35
8,34,27,3,19,27,27,20,39
2,13,12,20,4,10,47,66,42
0,8,2,49,13,16,44,16,34
20,4,20,3,53,5,16,40,26
2,7,27,22,13,51,9,46,49
0,9,4,7,44,28,17,47,36
0,3,16,19,29,54,61,37,76
9,29,34,7,20,37,23,37,32
0,6,3,8,23,23,48,59,51
7,3,6,20,44,20,25,28,38
0,27,3,48,25,36,23,36,56
3,6,37,9,16,45,48,45,30
1,26,4,17,21,37,13,19,40
0,11,1,30,34,52,29,22,44
0,2,4,33,25,52,54,46,42
9,9,12,20,43,32,26,12,18
10,10,1,9,56,3,28,47,32
0,2,6,21,3,60,56,18,54
0,4,15,16,14,28,51,54,56
0,0,13,35,27,25,34,26,28
5,1,2,6,6,28,48,24,44
0,2,22,28,31,5,26,43,17
11,11,20,7,23,36,44,19,61
9,3,7,4,36,38,12,30,56
3,15,18,25,25,60,10,67,32
0,16,9,20,50,30,25,21,53
0,0,30,12,9,24,58,28,62
0,4,31,23,31,19,24,16,55
8,1,34,6,29,53,24,55,16
4,10,4,11,21,38,28,32,33
3,6,29,6,8,37,10,40,34
3,5,10,9,32,31,16,81,50
3,3,3,30,18,10,27,38,46
0,10,17,64,18,22,28,34,16
2,2,25,12,23,24,9,4,36
27,31,37,16,32,37,42,22,28
0,17,15,29,40,26,19,57,38
3,7,21,29,32,33,23,21,57
0,3,2,14,31,46,3,45,54
0,15,13,37,22,44,20,37,74
0,31,13,31,11,7,62,36,7
0,4,12,17,28,26,8,45,19
0,2,28,4,20,24,38,63,63
0,6,14,6,23,31,29,47,20
2,2,13,21,8,30,22,46,28
14,34,15,36,21,4,15,23,58
0,1,14,36,23,51,5,13,30
1,1,17,8,17,16,22,31,31
4,1,14,23,15,68,45,14,29
0,27,7,5,64,32,63,38,50
1,1,7,28,12,14,18,22,35
0,11,25,22,7,26,27,43,33
12,6,38,32,16,29,1,28,51
3,20,7,4,21,37,41,21,17
4,9,9,8,14,31,48,25,48
0,2,3,17,33,29,62,11,35
0,0,5,1,5,15,50,19,16
0,11,14,8,29,5,50,46,36
11,9,11,33,5,11,45,34,10
10,19,1,7,7,14,40,56,45
1,13,11,11,33,10,17,43,33
7,7,38,13,21,40,49,16,44
7,13,17,15,38,26,21,42,46
0,5,15,26,21,58,29,42,13
26,27,25,6,12,27,48,39,96
0,6,17,34,2,22,18,10,48
17,17,4,21,20,26,34,75,35
0,11,21,18,3,26,13,6,71
0,22,7,11,19,4,34,35,57
0,14,18,27,50,33,45,8,39
12,9,29,13,38,9,59,44,52
0,9,2,11,12,44,17,45,41
0,6,6,12,43,30,6,37,60
0,1,22,3,35,63,58,25,56
0,6,6,51,29,29,20,65,39
0,7,1,2,29,28,37,32,78
0,6,5,45,22,27,51,37,87
4,26,4,35,13,57,53,83,55
1,4,15,9,12,51,30,27,44
14,11,1,14,25,34,6,71,29
0,2,24,29,18,53,25,41,11
0,9,3,10,25,11,60,37,34
29,16,17,26,3,36,15,62,10
2,26,19,41,31,19,18,44,41
0,14,4,16,32,25,31,57,33
5,4,9,35,19,9,45,21,47
0,13,9,44,38,46,51,18,70
25,1,11,29,36,12,27,44,59
0,3,28,7,13,29,31,18,35
7,1,8,5,24,17,41,55,53
0,2,14,27,12,25,25,20,68
0,14,14,4,27,47,6,16,29
0,0,29,12,19,32,20,16,46
0,25,14,6,45,22,63,16,20
0,0,8,32,26,31,36,10,29
2,10,10,6,42,17,41,84,23
1,7,6,7,32,3,34,17,66
0,13,4,27,13,7,23,23,57
8,5,12,36,7,3,34,57,68
4,3,3,11,33,32,39,20,29
0,15,8,31,23,26,65,74,57
7,5,8,22,19,30,50,35,46
0,9,19,21,6,49,28,42,18
0,7,12,10,46,32,22,16,40
5,6,18,28,25,29,59,24,55
0,0,21,25,4,52,34,28,39
5,22,8,32,18,41,51,23,37
1,3,21,9,37,49,18,52,43
0,15,24,1,42,29,49,39,27
0,15,15,10,21,28,12,43,70
2,1,7,33,29,2,31,38,82
5,18,6,14,14,31,55,47,67
20,17,14,24,30,27,37,69,42
0,1,16,3,48,31,22,47,3
4,40,10,10,25,52,12,39,24
22,3,1,16,20,30,45,3,18
7,10,8,54,19,28,47,45,51
6,13,34,34,22,7,44,90,39
0,0,0,12,14,56,23,13,30
5,2,6,38,25,28,46,38,76
0,2,2,10,26,38,18,31,24
3,17,1,23,11,24,25,51,58
22,22,7,35,32,40,47,73,30
2,12,12,22,42,15,41,28,105
0,2,11,4,20,42,29,22,17
4,4,4,4,19,25,53,40,31
13,13,15,2,17,34,44,85,59
5,15,14,24,13,29,102,43,29
16,1,15,17,21,40,63,20,15
1,12,6,41,36,19,17,36,45
0,11,3,28,56,39,26,56,45
0,0,5,12,12,2,62,29,28
2,7,21,4,56,38,42,43,59
0,6,12,17,25,22,58,26,40
10,14,36,27,22,26,5,19,46
0,0,22,63,18,6,6,29,48
0,13,4,6,12,22,8,36,49
0,6,12,5,18,30,6,40,71
5,17,20,33,20,45,34,52,51
0,13,20,18,15,31,33,26,20
7,7,45,45,3,36,49,50,20
0,14,12,12,27,12,37,40,38
6,6,18,4,44,30,38,31,59
