"A","B","C","D","E","F","G","H","I"
6,4,8,84,18,7,111,65,64
3,9,10,78,29,53,62,61,78
16,7,3,47,17,65,52,86,66
7,21,64,18,65,41,18,29,16
0,0,21,29,22,35,49,80,67
5,11,39,23,55,31,38,66,10
0,2,15,10,10,28,53,32,127
0,16,25,10,16,56,73,28,81
0,3,11,44,56,34,23,53,85
3,3,2,1,13,62,54,39,49
2,29,13,30,7,56,96,139,31
0,2,13,30,25,24,71,51,61
0,14,6,14,47,37,58,12,61
0,3,9,2,4,40,62,50,39
0,5,24,19,49,58,45,60,15
4,29,5,60,39,150,104,65,89
0,12,24,41,25,23,24,58,55
1,10,53,53,56,14,19,51,97
3,3,22,39,20,61,50,47,60
13,9,5,8,3,15,93,93,34
17,9,1,6,24,48,34,16,81
0,4,28,3,28,49,32,63,29
5,7,5,32,42,69,55,32,65
10,10,36,51,47,71,89,12,15
7,16,36,36,53,65,45,129,15
19,15,36,53,99,20,39,25,66
4,15,63,57,8,78,60,107,56
31,22,29,41,7,30,46,33,66
0,10,27,20,25,52,45,30,41
0,5,14,59,23,30,44,68,23
6,19,4,20,76,40,37,28,25
0,2,5,31,49,92,57,74,36
2,28,12,19,10,17,28,29,123
24,5,16,1,17,28,49,49,77
0,5,5,5,11,25,28,19,127
0,44,27,21,49,39,116,55,134
0,0,5,10,50,55,98,69,112
10,6,11,12,40,55,19,19,36
6,19,10,23,14,14,82,36,21
16,4,34,13,26,81,52,22,105
14,1,20,21,44,57,61,23,18
7,23,10,23,26,43,88,8,88
1,7,12,33,26,20,13,59,52
0,1,1,23,52,20,8,58,71
11,3,10,10,70,86,108,78,120
4,21,6,2,33,64,30,83,59
5,21,7,10,12,53,33,35,94
0,1,1,23,23,33,32,13,81
3,3,3,6,33,40,32,26,63
0,0,11,16,20,50,102,55,45
0,10,10,14,14,33,22,41,27
0,3,28,3,51,14,68,92,48
4,2,8,5,27,37,111,39,13
2,2,20,30,49,38,33,14,11
4,49,34,10,15,28,43,30,61
15,41,43,1,17,24,52,46,50
1,27,15,16,6,13,81,62,48
0,12,2,64,16,31,61,18,65
37,5,25,1,73,14,35,60,31
2,5,41,23,23,69,13,46,65
0,8,6,20,72,29,15,68,72
0,3,18,32,35,77,90,71,96
14,32,50,9,36,45,18,56,41
0,10,4,21,30,27,50,81,81
13,4,8,23,60,28,28,44,59
0,23,7,69,34,50,41,53,75
7,7,57,6,28,64,70,51,44
2,32,8,23,32,56,10,22,64
0,8,1,47,55,70,46,32,66
0,2,1,36,30,65,76,81,51
8,8,18,22,66,48,38,21,18
22,17,2,10,75,5,32,64,39
0,3,9,18,8,86,58,19,85
0,5,17,20,9,39,70,88,99
0,0,27,57,36,43,42,23,32
3,3,4,12,5,27,47,26,51
0,5,42,44,45,7,49,50,15
18,18,20,13,34,50,60,15,88
11,3,8,7,46,46,22,36,89
3,15,24,42,34,81,7,85,38
0,18,14,29,59,41,44,25,56
0,0,45,21,4,30,80,36,68
0,3,47,36,42,34,35,23,69
9,4,48,6,28,92,21,69,17
6,13,2,8,27,51,35,36,31
2,2,55,11,9,44,8,48,64
10,8,16,20,45,47,24,113,88
11,11,2,50,23,12,36,57,68
0,21,21,96,26,32,32,53,14
6,3,26,15,27,46,11,13,51
33,43,49,26,51,58,49,24,56
0,27,14,37,60,51,27,89,42
5,14,29,55,62,72,32,20,57
0,2,4,19,34,87,4,65,59
0,13,16,62,23,78,18,56,115
0,34,9,49,14,14,82,45,10
0,4,12,14,34,42,6,55,25
0,1,39,10,24,42,42,81,74
0,8,17,6,30,37,55,71,22
3,6,16,26,9,49,28,39,35
16,43,27,45,35,4,19,27,78
0,2,30,52,29,65,3,7,55
0,0,29,9,24,17,45,43,55
3,1,26,31,12,81,81,22,22
0,31,9,7,90,50,90,51,81
4,4,5,36,11,21,41,22,48
0,24,39,26,12,31,43,55,31
16,11,49,36,36,41,1,46,86
2,30,7,7,27,76,68,33,15
8,4,4,14,21,53,67,33,50
0,5,3,25,51,46,84,10,53
0,0,9,1,9,20,69,33,26
0,11,25,10,38,9,66,71,54
20,9,18,51,3,16,62,54,15
20,27,1,16,13,22,49,78,72
3,10,9,9,42,11,17,68,32
10,10,61,14,25,52,81,19,79
13,28,27,23,47,26,31,56,68
0,8,31,26,38,83,41,42,24
26,32,44,3,12,48,75,39,133
0,5,19,55,2,21,15,12,69
18,28,7,35,28,41,48,99,53
0,11,34,24,3,45,20,8,102
0,24,10,15,24,4,60,62,97
0,19,22,38,87,42,83,18,56
13,15,40,15,46,8,60,56,72
0,8,8,16,15,66,19,69,52
0,8,12,14,82,46,12,73,92
0,1,33,3,50,105,67,35,72
0,10,10,69,27,45,26,85,74
0,7,7,1,40,29,50,50,103
0,7,1,68,38,28,101,51,137
